Loan_ID,Gender,Married,Dependents,Education,Self_Employed,EmploymentType,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100613,Female,Yes,3+,Not Graduate,Yes,Self-Employed,1952.18,2573.76,154.16,120,1.0,Urban,Y
LP100012,Male,Yes,0,Graduate,Yes,Freelancer,5659.49,0.0,251.94,180,0.0,Rural,N
LP100225,Male,No,1,Not Graduate,No,Salaried,2999.68,1587.22,109.2,180,1.0,Semiurban,Y
LP100282,Male,No,1,Graduate,Yes,Business Owner,6265.55,0.0,251.53,360,1.0,Semiurban,Y
LP100493,Male,No,0,Graduate,Yes,Self-Employed,6942.48,418873.82,267.06,300,1.0,Urban,Y
LP100834,Male,Yes,0,Graduate,Yes,Business Owner,6431.08,0,254.86,120,1.0,Urban,Y
LP100257,Male,Yes,,Graduate,No,Salaried,4252.41,0.0,150.63,180,1.0,Rural,Y
LP100490,Male,Yes,,Graduate,Yes,Self-Employed,1894.51,0.0,82.45,300,1.0,Urban,Y
LP100473,Male,Yes,1,Not Graduate,No,Salaried,2254.38,2122.57,188.94,240,1.0,Rural,Y
LP100388,Female,No,0,Graduate,,Salaried,4662.4,1873.21,220.44,360,1.0,Rural,Y
LP100287,Male,Yes,0,Graduate,No,Salaried,3291.23,3238.01,291.6,240,0.0,Semiurban,N
LP100259,Male,No,3+,Graduate,Yes,Self-Employed,7769.9,1684.83,402.39,300,1.0,Urban,Y
LP100215,Male,No,0,Graduate,No,Salaried,2546.81,2239.1,,300,1.0,Urban,Y
LP100180,Female,Yes,0,Not Graduate,No,Salaried,2153.39,0.0,96.19,360,1.0,Urban,Y
LP100050,Male,Yes,1,Graduate,Yes,Business Owner,4881.41,1438.28,199.3,120,1.0,Semiurban,Y
LP100873,Male,No,0,Not Graduate,No,Salaried,4111.92,2591.85,311.78,,1.0,Semiurban,Y
LP100734,Male,No,1,Graduate,No,Salaried,2784.91,1407.91,190.02,,1.0,Rural,Y
LP100684,Female,No,0,Graduate,Yes,Business Owner,2659.43,0.0,71.35,120,1.0,Semiurban,Y
LP100890,Male,Yes,0,Graduate,Yes,Freelancer,2735.63,0.0,89.6,360,1.0,Rural,Y
LP100288,Female,No,0,Graduate,Yes,Business Owner,7337.17,2858.32,388.36,240,0.0,Urban,N
LP100975,Male,No,1,Graduate,Yes,Business Owner,8602.76,0.0,402.93,240,1.0,Rural,Y
LP100963,Female,No,0,Graduate,No,Salaried,7699.1,2617.04,423.72,240,1.0,Semiurban,Y
LP100621,Male,Yes,0,Graduate,No,Salaried,3816.32,4743.23,348.06,180,0.0,Urban,N
LP100779,Male,Yes,2,Graduate,No,Salaried,478979.09,2491.26,308.95,360,1.0,Urban,Y
LP100530,Male,No,0,Not Graduate,Yes,Business Owner,3523.69,5030.47,329.33,180,1.0,Rural,Y
LP100374,Male,No,0,Graduate,No,Salaried,5351.59,0.0,201.27,240,1.0,Urban,Y
LP100695,Male,No,0,Not Graduate,No,Salaried,3355.56,0.0,89.37,180,1.0,Urban,N
LP100063,Male,Yes,0,Not Graduate,No,Salaried,1007.26,0.0,,180,0.0,Semiurban,N
LP100342,Male,Yes,0,Graduate,No,Salaried,5808.52,0.0,245.71,360,1.0,Semiurban,Y
LP100976,Male,No,2,Graduate,Yes,Freelancer,4417.75,0.0,160.93,360,1.0,Urban,Y
LP100761,Male,Yes,3+,Graduate,,Salaried,6601.64,0.0,232.81,120,0.0,Rural,Y
LP100795,Male,Yes,2,Graduate,,Self-Employed,3324.98,546.85,175.13,300,1.0,Semiurban,Y
LP100804,Male,Yes,1,Graduate,No,Salaried,6537.88,0.0,211.58,120,1.0,Semiurban,Y
LP100045,Male,,0,Not Graduate,No,Salaried,3393.24,0.0,125.16,240,1.0,Semiurban,Y
LP100802,Male,Yes,2,Graduate,No,Salaried,1523.06,0.0,86.89,,1.0,Rural,Y
LP100719,Male,Yes,0,Graduate,No,Unemployed,1735.73,2804.54,158.55,300,0.0,Rural,N
LP100586,Male,No,0,Graduate,Yes,Business Owner,7004.13,1422.72,327.11,120,1.0,Rural,Y
LP100652,Male,No,2,Graduate,No,Salaried,5387.31,0.0,255.48,180,1.0,Semiurban,Y
LP100641,Male,Yes,1,Not Graduate,No,Salaried,2230.77,0.0,116.79,180,1.0,Rural,Y
LP100055,Male,Yes,0,Graduate,No,Salaried,4979.31,2058.5,297.05,360,1.0,Urban,Y
LP100341,Female,Yes,2,Not Graduate,Yes,Self-Employed,2953.71,0.0,126.31,120,1.0,Semiurban,Y
LP100482,Male,Yes,3+,Graduate,No,Salaried,3365.79,816.44,172.05,,1.0,Rural,Y
LP100459,Male,Yes,0,Graduate,No,Salaried,7287.94,3543.86,487.42,300,1.0,Rural,Y
LP100360,Female,Yes,1,Graduate,No,Salaried,8092.27,0.0,316.08,180,1.0,Rural,Y
LP100128,Male,Yes,2,Graduate,No,Salaried,4773.57,0.0,216.24,240,0.0,Urban,N
LP100988,Female,No,,Graduate,No,Salaried,6104.08,0.0,,120,1.0,Urban,Y
LP100303,Male,Yes,3+,Graduate,No,Salaried,4642.18,3954.16,349.54,120,1.0,Semiurban,Y
LP100756,Male,No,2,Graduate,No,Salaried,1204.13,0.0,34.36,120,0.0,Rural,N
LP100582,Female,Yes,1,Graduate,No,Salaried,5836.23,0.0,190.94,300,,Rural,Y
LP100956,Male,Yes,3+,Graduate,Yes,Business Owner,12467.77,1809.45,556.4,240,1.0,Urban,Y
LP100767,Male,Yes,2,Graduate,No,Salaried,6307.84,3828.58,423.4,240,1.0,Rural,Y
LP100560,Male,Yes,1,Not Graduate,No,Salaried,3953.56,1454.24,264.91,,1.0,Rural,Y
LP100709,Male,Yes,3+,Graduate,No,Salaried,5505.51,4226.35,402.57,120,1.0,Urban,Y
