Gender,Married,Dependents,Education,Self_Employed,EmploymentType,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,3,1,1,3,1952.18,2573.76,154.16,120.0,1.0,2,1
1,1,0,0,1,1,5659.49,0.0,251.94,180.0,0.0,0,0
1,0,1,1,0,2,2999.68,1587.22,109.2,180.0,1.0,1,1
1,0,1,0,1,0,6265.55,0.0,251.53,360.0,1.0,1,1
1,0,0,0,1,3,6942.48,418873.82,267.06,300.0,1.0,2,1
1,1,0,0,1,0,6431.08,0.0,254.86,120.0,1.0,2,1
1,1,0,0,0,2,4252.41,0.0,150.63,180.0,1.0,0,1
1,1,0,0,1,3,1894.51,0.0,82.45,300.0,1.0,2,1
1,1,1,1,0,2,2254.38,2122.57,188.94,240.0,1.0,0,1
0,0,0,0,0,2,4662.4,1873.21,220.44,360.0,1.0,0,1
1,1,0,0,0,2,3291.23,3238.01,291.6,240.0,0.0,1,0
1,0,3,0,1,3,7769.9,1684.83,402.39,300.0,1.0,2,1
1,0,0,0,0,2,2546.81,2239.1,223.39499999999998,300.0,1.0,2,1
0,1,0,1,0,2,2153.39,0.0,96.19,360.0,1.0,2,1
1,1,1,0,1,0,4881.41,1438.28,199.3,120.0,1.0,1,1
1,0,0,1,0,2,4111.92,2591.85,311.78,240.0,1.0,1,1
1,0,1,0,0,2,2784.91,1407.91,190.02,240.0,1.0,0,1
0,0,0,0,1,0,2659.43,0.0,71.35,120.0,1.0,1,1
1,1,0,0,1,1,2735.63,0.0,89.6,360.0,1.0,0,1
0,0,0,0,1,0,7337.17,2858.32,388.36,240.0,0.0,2,0
1,0,1,0,1,0,8602.76,0.0,402.93,240.0,1.0,0,1
0,0,0,0,0,2,7699.1,2617.04,423.72,240.0,1.0,1,1
1,1,0,0,0,2,3816.32,4743.23,348.06,180.0,0.0,2,0
1,1,2,0,0,2,478979.09,2491.26,308.95,360.0,1.0,2,1
1,0,0,1,1,0,3523.69,5030.47,329.33,180.0,1.0,0,1
1,0,0,0,0,2,5351.59,0.0,201.27,240.0,1.0,2,1
1,0,0,1,0,2,3355.56,0.0,89.37,180.0,1.0,2,0
1,1,0,1,0,2,1007.26,0.0,223.39499999999998,180.0,0.0,1,0
1,1,0,0,0,2,5808.52,0.0,245.71,360.0,1.0,1,1
1,0,2,0,1,1,4417.75,0.0,160.93,360.0,1.0,2,1
1,1,3,0,0,2,6601.64,0.0,232.81,120.0,0.0,0,1
1,1,2,0,0,3,3324.98,546.85,175.13,300.0,1.0,1,1
1,1,1,0,0,2,6537.88,0.0,211.58,120.0,1.0,1,1
1,1,0,1,0,2,3393.24,0.0,125.16,240.0,1.0,1,1
1,1,2,0,0,2,1523.06,0.0,86.89,240.0,1.0,0,1
1,1,0,0,0,4,1735.73,2804.54,158.55,300.0,0.0,0,0
1,0,0,0,1,0,7004.13,1422.72,327.11,120.0,1.0,0,1
1,0,2,0,0,2,5387.31,0.0,255.48,180.0,1.0,1,1
1,1,1,1,0,2,2230.77,0.0,116.79,180.0,1.0,0,1
1,1,0,0,0,2,4979.31,2058.5,297.05,360.0,1.0,2,1
0,1,2,1,1,3,2953.71,0.0,126.31,120.0,1.0,1,1
1,1,3,0,0,2,3365.79,816.44,172.05,240.0,1.0,0,1
1,1,0,0,0,2,7287.94,3543.86,487.42,300.0,1.0,0,1
0,1,1,0,0,2,8092.27,0.0,316.08,180.0,1.0,0,1
1,1,2,0,0,2,4773.57,0.0,216.24,240.0,0.0,2,0
0,0,0,0,0,2,6104.08,0.0,223.39499999999998,120.0,1.0,2,1
1,1,3,0,0,2,4642.18,3954.16,349.54,120.0,1.0,1,1
1,0,2,0,0,2,1204.13,0.0,34.36,120.0,0.0,0,0
0,1,1,0,0,2,5836.23,0.0,190.94,300.0,1.0,0,1
1,1,3,0,1,0,12467.77,1809.45,556.4,240.0,1.0,2,1
1,1,2,0,0,2,6307.84,3828.58,423.4,240.0,1.0,0,1
1,1,1,1,0,2,3953.56,1454.24,264.91,240.0,1.0,0,1
1,1,3,0,0,2,5505.51,4226.35,402.57,120.0,1.0,2,1
1,1,3,0,1,0,5730.42,0.0,266.45,180.0,1.0,2,1
1,1,0,1,0,2,2026.32,0.0,86.35,360.0,1.0,0,1
1,1,0,0,1,0,8943.05,2725.79,458.36,120.0,1.0,0,1
1,1,0,0,0,2,1779.35,0.0,58.72,240.0,1.0,2,0
1,1,0,0,0,0,6614.12,3318.61,401.65,120.0,1.0,0,1
1,0,2,1,0,2,1803.12,4201.72,223.39499999999998,300.0,0.0,0,0
1,0,0,0,1,1,6478.59,3114.94,223.39499999999998,300.0,1.0,0,1
1,0,2,0,1,3,3719.5,2820.66,269.01,120.0,1.0,1,1
1,0,0,0,0,2,4792.82,3257.55,337.29,360.0,1.0,0,1
1,1,0,0,1,0,9122.57,1543.31,405.14,360.0,1.0,2,1
1,1,0,0,0,2,7570.8,2148.75,371.24,360.0,1.0,2,1
1,1,0,0,0,2,3364.99,0.0,72.9,300.0,1.0,0,1
1,0,1,0,0,2,5062.66,1520.29,239.18,180.0,1.0,1,1
1,1,2,1,0,2,1700.01,1804.77,110.0,360.0,1.0,1,1
1,0,0,0,0,2,8064.84,0.0,356.15,240.0,1.0,2,1
1,1,0,0,1,0,7683.97,492.52,223.39499999999998,180.0,1.0,2,1
1,1,0,0,0,2,3986.59,938.1,211.4,240.0,1.0,0,1
1,1,0,1,1,0,4340.97,399496.88,296.92,240.0,1.0,0,1
1,0,0,1,0,2,2919.95,2335.73,172.83,360.0,1.0,1,0
1,1,0,0,1,3,5467.35,3686.12,317.62,180.0,1.0,2,1
0,1,1,0,0,2,1842.4,0.0,80.65,120.0,0.0,2,0
1,1,0,0,0,2,945.1,4349.58,222.06,360.0,1.0,2,1
1,0,1,0,1,0,12916.1,4634.11,648.01,300.0,0.0,1,1
0,1,1,0,0,2,4608.96,0.0,208.74,120.0,1.0,0,1
1,1,1,0,0,0,5690.74,0.0,223.39499999999998,360.0,1.0,0,1
1,1,0,0,0,2,7911.38,0.0,322.7,360.0,1.0,2,1
1,0,0,0,1,0,15161.02,1695.62,692.77,360.0,1.0,1,1
1,1,1,0,0,4,1186.99,0.0,41.92,120.0,0.0,1,0
1,1,3,0,0,2,4039.79,0.0,109.02,180.0,1.0,2,1
0,1,2,1,0,2,4857.03,3203.28,348.41,360.0,0.0,1,0
1,1,1,0,0,2,5706.6,0.0,206.0,360.0,0.0,2,0
1,1,0,1,1,0,6455.76,4599.48,456.72,360.0,1.0,1,1
1,1,0,0,1,1,4875.43,2900.63,299.78,120.0,1.0,0,1
1,1,1,0,1,1,3937.19,0.0,159.9,120.0,1.0,2,1
1,1,0,0,1,0,9895.04,706.67,430.91,120.0,1.0,2,1
1,0,2,0,0,2,4982.68,2498.27,273.77,360.0,0.0,1,0
1,0,0,0,0,2,6413.22,1260.82,292.49,180.0,1.0,0,1
1,1,0,0,0,2,3713.77,0.0,153.55,360.0,0.0,0,0
1,0,1,0,1,0,13886.23,0.0,529.51,300.0,0.0,1,0
0,1,3,1,0,2,2043.76,5833.91,297.93,360.0,0.0,2,0
1,0,0,1,0,2,2990.05,1439.28,155.15,120.0,0.0,1,0
1,1,0,1,1,3,2093.92,0.0,130.64,360.0,1.0,2,1
1,1,2,0,0,2,2538.29,698.31,158.17,180.0,1.0,2,1
1,1,0,0,1,3,4963.01,586.82,223.91,180.0,1.0,1,1
1,1,0,1,0,2,3120.32,658.41,140.94,360.0,1.0,2,1
1,1,0,0,1,0,5626.28,360824.88,249.87,120.0,1.0,1,1
1,0,2,0,0,2,2671.79,4011.69,285.73,180.0,1.0,1,1
1,1,0,0,0,2,5903.15,545.14,216.65,240.0,0.0,2,0
1,1,1,0,0,1,5292.18,0.0,221.77,360.0,1.0,1,1
1,1,0,0,1,0,7372.17,0.0,307.66,300.0,1.0,1,1
1,1,1,0,0,2,6669.57,0.0,337.55,240.0,1.0,0,1
1,1,1,0,1,0,10200.37,614.89,454.97,180.0,1.0,1,0
0,1,0,0,0,2,2647.47,0.0,114.89,120.0,0.0,2,0
0,1,3,0,1,3,4403.08,0.0,204.12,180.0,1.0,0,0
1,1,1,0,0,2,3532.47,0.0,143.42,360.0,1.0,2,1
